T\P	S	Z	h	m	n	N	l	r	j	w	?	i	I	E	&	a	O	U	u	9	0	^	1	2	3	4	5	6	7	8	.	sum
f	1	0	5	0	1	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	67
v	0	0	0	3	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	81
T	2	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	61
D	1	0	1	0	1	0	3	2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	237
s	52	0	3	1	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	265
z	7	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	134
S		2	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	50
Z	4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
h	2	0		5	3	0	3	2	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	132
m	0	0	3		28	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	78
n	0	0	3	38		16	7	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	134
N	0	0	0	3	26		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31
l	1	0	1	0	12	0		30	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	141
r	0	0	0	2	8	0	40		2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	334
j	0	0	0	0	0	0	1	5		2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	83
w	0	0	2	1	3	0	4	14	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	138
?	0	0	0	0	1	0	0	4	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	78
i	0	0	0	0	0	0	0	0	0	0	0		79	5	2	1	1	0	1	0	20	0	4	1	0	13	0	5	0	0	8	140
I	0	0	0	0	0	0	0	0	0	0	0	106		50	20	10	2	2	4	1	161	6	9	0	0	11	3	3	1	0	40	429
E	0	0	0	0	0	0	0	0	0	0	0	12	55		57	18	2	1	2	4	37	24	2	1	0	20	3	3	5	0	1	247
&	0	0	0	0	0	0	0	0	0	0	0	1	13	51		63	8	0	2	5	31	12	3	2	0	17	1	0	3	0	0	212
a	0	0	0	0	0	0	0	0	0	0	0	3	10	6	37		29	3	4	8	19	24	0	1	1	3	14	1	4	0	2	169
O	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	33		4	5	3	26	10	0	4	3	3	20	1	0	5	0	140
U	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	1		8	0	10	10	0	0	0	0	4	0	0	1	1	43
u	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	2	3	2		0	10	3	0	3	2	0	15	0	0	3	0	49
9	0	0	0	0	0	0	0	0	0	0	0	0	5	4	6	7	7	0	2		4	3	3	1	7	0	2	2	1	0	0	54
0	0	0	0	0	0	0	0	0	0	0	0	31	154	24	35	34	17	5	20	5		10	5	2	1	9	40	2	4	1	77	476
^	0	0	0	0	0	0	0	0	0	0	0	0	14	8	15	48	13	4	10	2	16		0	0	0	2	12	0	0	0	0	144
1	0	0	0	0	0	0	0	0	0	0	0	10	13	12	44	36	4	0	1	2	51	4		3	10	19	7	0	1	0	2	219
2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	15	2	0	3	0	6	2	2		0	0	3	0	0	1	0	42
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	3	0		0	1	0	0	0	0	9
4	0	0	0	0	0	0	0	0	0	0	0	15	10	12	16	5	0	0	1	1	13	1	14	0	4		2	0	0	0	0	94
5	0	0	0	0	0	0	0	0	0	0	0	2	5	3	3	25	10	2	14	5	28	7	2	4	6	2		0	0	0	2	120
6	0	0	0	0	0	0	0	0	0	0	0	4	2	4	0	1	1	0	0	1	3	0	1	0	0	3	0		6	0	1	27
7	0	0	0	0	0	0	0	0	0	0	0	2	1	11	22	8	5	0	0	5	6	0	0	0	0	2	0	3		0	1	66
8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	4	5	5	4	2	0	0	0	0	0	2	0	0		1	30
.	2	0	74	25	47	5	104	280	45	39	5	29	50	5	3	4	3	0	6	1	203	1	1	0	0	2	11	0	0	0		1264
sum	103	15	105	87	152	21	189	368	70	93	54	216	422	205	286	316	113	28	88	49	646	117	49	22	34	106	140	20	25	11	958	
